

0    2014-11-08 16:06:11,646 [main] INFO  GetHTML  - Time: Starting (main)
2    2014-11-08 16:06:11,648 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
2    2014-11-08 16:06:11,648 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
2    2014-11-08 16:06:11,648 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
2    2014-11-08 16:06:11,648 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
2    2014-11-08 16:06:11,648 [main] DEBUG GetHTML  - CommandLineParms: Output File
3    2014-11-08 16:06:11,649 [main] DEBUG GetHTML  - Append GUID or TimeStamp to the end of the filename
3    2014-11-08 16:06:11,649 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
3    2014-11-08 16:06:11,649 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://madmoney.thestreet.com/screener/index.cfm
3    2014-11-08 16:06:11,649 [main] DEBUG GetHTML  - CommandLineParms: Output DB
3    2014-11-08 16:06:11,649 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
89   2014-11-08 16:06:11,735 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv iReturn=1(1 is successful)
89   2014-11-08 16:06:11,735 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
89   2014-11-08 16:06:11,735 [main] DEBUG GetHTML  - Completed:getHTML response length=19
89   2014-11-08 16:06:11,735 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
90   2014-11-08 16:06:11,736 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_16:06:11.txt
90   2014-11-08 16:06:11,736 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
90   2014-11-08 16:06:11,736 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
90   2014-11-08 16:06:11,736 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
368  2014-11-08 16:06:12,014 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv iReturn=1(1 is successful)
369  2014-11-08 16:06:12,015 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
369  2014-11-08 16:06:12,015 [main] DEBUG GetHTML  - Completed:getHTML response length=90
369  2014-11-08 16:06:12,015 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
369  2014-11-08 16:06:12,015 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_16:06:11.txt
369  2014-11-08 16:06:12,015 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
369  2014-11-08 16:06:12,015 [main] DEBUG GetHTML  - Begin out->DB 
624  2014-11-08 16:06:12,270 [main] DEBUG GetHTML  - End  out->DB 
625  2014-11-08 16:06:12,271 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
625  2014-11-08 16:06:12,271 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -O=/home/paul/workspace/dev/GetHTML/output/test.txt
625  2014-11-08 16:06:12,271 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -O=/home/paul/workspace/dev/GetHTML/output/test.txt
625  2014-11-08 16:06:12,271 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -D=MMddyyyy_HH:mm:ss
625  2014-11-08 16:06:12,271 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -D=MMddyyyy_HH:mm:ss
625  2014-11-08 16:06:12,271 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://madmoney.thestreet.com/screener/index.cfm
771  2014-11-08 16:06:12,417 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://madmoney.thestreet.com/screener/index.cfm iReturn=1(1 is successful)
771  2014-11-08 16:06:12,417 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
771  2014-11-08 16:06:12,417 [main] DEBUG GetHTML  - Completed:getHTML response length=25835
771  2014-11-08 16:06:12,417 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
771  2014-11-08 16:06:12,417 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_16:06:11.txt
772  2014-11-08 16:06:12,418 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
772  2014-11-08 16:06:12,418 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://madmoney.thestreet.com/screener/index.cfm
772  2014-11-08 16:06:12,418 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -B=Yes
772  2014-11-08 16:06:12,418 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -B=Yes
773  2014-11-08 16:06:12,419 [main] INFO  GetHTML  - sLocalUrlYahooFinanceIntelHistoricalGeneric=http://ichart.finance.yahoo.com/table.csv?s=INTC&d=09&e=31&f=2014&g=d&a=09&b=31&c=2014&ignore=.csv
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=INTC&d=09&e=31&f=2014&g=d&a=09&b=31&c=2014&ignore=.csv iReturn=1(1 is successful)
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - Completed:getHTML response length=90
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
837  2014-11-08 16:06:12,483 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_16:06:11.txt
838  2014-11-08 16:06:12,484 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
838  2014-11-08 16:06:12,484 [main] DEBUG GetHTML  - Begin out->DB 
856  2014-11-08 16:06:12,502 [main] DEBUG GetHTML  - End  out->DB 
856  2014-11-08 16:06:12,502 [main] INFO  GetHTML  - Time: Ending   (main)
0    2014-11-08 17:43:31,956 [main] INFO  GetHTML  - Time: Starting (main)
1    2014-11-08 17:43:31,957 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
2    2014-11-08 17:43:31,958 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
2    2014-11-08 17:43:31,958 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
2    2014-11-08 17:43:31,958 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
